Скидання пароля,Не можу увійти в систему, пароль не приймається.
Скидання пароля,Забув пароль від корпоративного порталу.
Скидання пароля,Після зміни пароля авторизація не працює.
Скидання пароля,Потрібно скинути пароль для нового співробітника.
Скидання пароля,Отримую помилку під час відновлення пароля.
Скидання пароля,Лист для зміни пароля не надходить.
Скидання пароля,Акаунт заблоковано після кількох невдалих спроб входу.
Скидання пароля,Не можу встановити новий пароль.
Скидання пароля,Пароль перестав працювати після оновлення системи.
Скидання пароля,Потрібна допомога з відновленням доступу.
Встановлення ПЗ,Потрібно встановити Microsoft Office.
Встановлення ПЗ,Необхідно інсталювати Python на робочий комп'ютер.
Встановлення ПЗ,Потрібна установка Adobe Acrobat.
Встановлення ПЗ,Прошу встановити VS Code.
Встановлення ПЗ,Не можу самостійно встановити програму для роботи.
Встановлення ПЗ,Потрібне оновлення бухгалтерського ПЗ.
Встановлення ПЗ,Встановіть браузер Google Chrome.
Встановлення ПЗ,Необхідно налаштувати новий застосунок.
Встановлення ПЗ,Потрібно перевстановити програмне забезпечення.
Встановлення ПЗ,Прошу встановити клієнт VPN.
Пошта,Не надсилаються листи з корпоративної пошти.
Пошта,Не можу отримати нові повідомлення.
Пошта,Пошта працює дуже повільно.
Пошта,Листи потрапляють у спам.
Пошта,Помилково видалив важливий лист.
Пошта,Не працює поштовий клієнт Outlook.
Пошта,Не відкриваються вкладення у листах.
Пошта,Потрібно налаштувати пошту на телефоні.
Пошта,Не синхронізуються папки поштової скриньки.
Пошта,Отримую повідомлення про переповнену поштову скриньку.
Мережа,Відсутнє підключення до інтернету.
Мережа,Дуже низька швидкість мережі.
Мережа,Не відкриваються внутрішні ресурси компанії.
Мережа,Періодично зникає мережеве з'єднання.
Мережа,Не працює Wi-Fi у переговорній кімнаті.
Мережа,VPN не підключається.
Мережа,Немає доступу до файлового сервера.
Мережа,Мережа недоступна після перезавантаження ПК.
Мережа,Не можу підключитися до корпоративної мережі.
Мережа,З'єднання часто розривається.
Принтер,Принтер не друкує документи.
Принтер,Застряг папір у принтері.
Принтер,Друк виходить із дефектами.
Принтер,Комп'ютер не бачить принтер.
Принтер,Потрібно підключити новий принтер.
Принтер,Помилка черги друку.
Принтер,Принтер друкує порожні сторінки.
Принтер,Не працює сканування документів.
Принтер,Принтер видає повідомлення про помилку.
Принтер,Потрібно замінити картридж.
Обладнання,Комп'ютер не вмикається.
Обладнання,Ноутбук раптово вимикається.
Обладнання,Не працює клавіатура.
Обладнання,Монітор не показує зображення.
Обладнання,Чути сторонні шуми від системного блоку.
Обладнання,Не працює USB-порт.
Обладнання,Миша перестала реагувати.
Обладнання,Перегрівається ноутбук.
Обладнання,Не визначається жорсткий диск.
Обладнання,Пошкоджено блок живлення.
Доступ,Не маю доступу до корпоративного порталу.
Доступ,Потрібно надати права до системи звітності.
Доступ,Відсутній доступ до спільної папки.
Доступ,Потрібно створити новий обліковий запис.
Доступ,Не можу увійти під своїм логіном.
Доступ,Не вистачає прав для виконання операції.
Доступ,Прошу додати доступ до CRM.
Доступ,Доступ до сервісу було несподівано заблоковано.
Доступ,Потрібно змінити роль користувача.
Доступ,Не відкривається робочий кабінет.
База даних,Помилка підключення до бази даних.
База даних,Запит виконується надто довго.
База даних,Не можу знайти потрібні записи.
База даних,База даних недоступна.
База даних,Виникає помилка під час збереження даних.
База даних,Потрібно відновити видалений запис.
База даних,Помилка синхронізації бази даних.
База даних,Не працює резервне копіювання.
База даних,Отримую SQL-помилку при роботі.
База даних,Потрібна перевірка цілісності даних.
Вебсайт,Сторінка сайту не відкривається.
Вебсайт,Форма зворотного зв'язку не працює.
Вебсайт,Помилка 500 при відкритті сторінки.
Вебсайт,Некоректно відображається меню.
Вебсайт,Не працює кнопка збереження.
Вебсайт,Сайт зависає під час роботи.
Вебсайт,Помилка авторизації на вебпорталі.
Вебсайт,Не завантажуються зображення.
Вебсайт,Вебсторінка некоректно відображається на телефоні.
Вебсайт,Після оновлення зникла частина функціоналу.
Нова функція,Прошу додати темну тему інтерфейсу.
Нова функція,Потрібен експорт даних у Excel.
Нова функція,Хотілося б отримувати email-сповіщення.
Нова функція,Додайте можливість фільтрації результатів.
Нова функція,Потрібна інтеграція з CRM.
Нова функція,Було б корисно додати пошук по документах.
Нова функція,Потрібен новий звіт для керівництва.
Нова функція,Додайте підтримку двофакторної автентифікації.
Нова функція,Необхідна можливість масового редагування записів.
Нова функція,Прошу реалізувати API для зовнішніх систем.
